selection_type,risk_index,pred_score,pred_score_norm,stability_score,final_select_score,consensus_match_count,pred_rank_desc,true_score_in_grid,dataset,alpha,beta,T,h,rho,lr,lam_sparse,batch_size,epochs,k_min,k_max,k_n_init,best_k,modularity,time_seconds
recommended_risk_controlled,0.5,0.8662701215216584,0.8876416189555644,1.0,0.9438208094777822,8.0,10.0,0.8910464346707954,lesmis,0.9,0.0999999999999999,6,16,0.05,0.01,0.00033,32,600,2,14,10,4,0.458877900059493,119.32045332342386
random_1,,0.3595275173393101,,,,,216.0,-0.6669810824055205,lesmis,0.9,0.0999999999999999,10,32,0.05,0.01,0.00033,16,600,2,14,10,11,0.4078955978584186,372.94359927251935
random_2,,0.4782140951464215,,,,,156.0,-0.0541888684660051,lesmis,0.7,0.3,8,32,0.05,0.01,0.00066,32,600,2,14,10,5,0.4303145449137432,163.69670520350337
random_3,,0.1130498030262112,,,,,348.0,0.8802579892345923,lesmis,0.3,0.7,8,32,0.05,0.01,0.0001,16,600,2,14,10,5,0.4583164782867359,291.76683223992586
random_4,,0.6965293654777123,,,,,63.0,0.819657181023334,lesmis,0.7,0.3,6,48,0.05,0.01,0.00066,32,600,2,14,10,6,0.4541931885782284,117.86569690331817
random_5,,-0.7984356738223768,,,,,635.0,-0.969136371175725,lesmis,0.7,0.3,10,16,0.05,0.01,0.01,32,600,2,14,10,8,0.2470248364069031,210.06247883290047
recommended_risk_controlled,0.5,0.815964996,1.0,0.875,0.9375,7.0,1.0,0.993327611,sociopatterns-hypertext,0.9,0.1,8,48,0.05,0.01,0.00066,32,600,2,16,10,4,0.373190695,230.4878881
random_1,,0.411257468,,,,,82.0,-0.666981082,sociopatterns-hypertext,0.7,0.3,10,48,0.05,0.02,0.00066,32,600,2,16,10,5,0.215093881,288.8656158
random_2,,-0.2368905,,,,,525.0,-0.054188868,sociopatterns-hypertext,0.1,0.9,6,32,0.05,0.01,0.00066,16,600,2,16,10,9,0.196620814,317.6901423
random_3,,-0.110652793,,,,,401.0,0.883045368,sociopatterns-hypertext,0.5,0.5,10,32,0.05,0.01,0.00066,32,600,2,16,10,10,0.170669943,297.4155569
random_4,,0.173367268,,,,,193.0,0.819657181,sociopatterns-hypertext,0.3,0.7,10,32,0.05,0.01,0.0001,32,600,2,16,10,6,0.203233315,291.1627578
random_5,,-0.030101349,,,,,333.0,-0.969388929,sociopatterns-hypertext,0.1,0.9,10,16,0.05,0.02,0.00033,32,600,2,16,10,11,0.114847148,294.2695161
recommended_risk_controlled,0.5,0.9312822616332238,0.9321792445432336,1.0,0.9660896222716168,8.0,3.0,0.994801503918708,adjnoun,0.9,0.0999999999999999,6,48,0.05,0.01,0.00033,16,600,3,14,10,4,0.2222366782006933,290.0297839976847
random_1,,0.1300728865062344,,,,,321.0,-0.6669810824055205,adjnoun,0.3,0.7,8,48,0.05,0.02,0.0001,32,600,3,14,10,7,-0.0042048442906572,220.70107347890732
random_2,,-0.9234617952241782,,,,,706.0,-0.0541888684660051,adjnoun,0.5,0.5,8,48,0.05,0.01,0.01,32,600,3,14,10,3,0.034737716262976,221.210167337209
random_3,,-0.1865935244195039,,,,,465.0,0.8830453684626614,adjnoun,0.7,0.3,10,48,0.05,0.02,0.0001,16,600,3,14,10,4,0.1167916955017288,520.112724866718
random_4,,0.1330886990992634,,,,,318.0,0.819657181023334,adjnoun,0.5,0.5,8,32,0.05,0.02,0.00033,32,600,3,14,10,3,0.0335750865051909,221.17390102148056
random_5,,-0.6999396425333136,,,,,584.0,-0.969136371175725,adjnoun,0.3,0.7,10,16,0.05,0.02,0.01,32,600,3,14,10,4,0.0075681660899661,286.4739612452686
recommended_risk_controlled,0.5,0.9578599512857524,0.989964290733274,0.875,0.932482145366637,7.0,2.0,0.9886445149913012,soc-dolphins_normalized,0.9,0.0999999999999999,6,32,0.05,0.01,0.0001,32,600,2,14,10,6,0.4647165855780985,86.33558716624975
random_1,,0.2171328530418841,,,,,306.0,-0.6669810824055205,soc-dolphins_normalized,0.7,0.3,10,32,0.05,0.02,0.00066,32,600,2,14,10,4,0.3715240694592754,158.5300935767591
random_2,,0.7736014301136045,,,,,66.0,-0.0541888684660051,soc-dolphins_normalized,0.9,0.0999999999999999,8,32,0.05,0.01,0.00033,16,600,2,14,10,6,0.3733831731339718,232.67137598991397
random_3,,0.0964080701532584,,,,,348.0,0.8830453684626614,soc-dolphins_normalized,0.3,0.7,10,16,0.05,0.02,0.0001,32,600,2,14,10,4,0.4166172224199964,157.65492086485028
random_4,,0.29345969909269,,,,,275.0,0.819657181023334,soc-dolphins_normalized,0.5,0.5,8,16,0.05,0.02,0.00033,16,600,2,14,10,3,0.4526521893912386,233.27943569794297
random_5,,-0.9359752930879512,,,,,689.0,-0.9693889285343372,soc-dolphins_normalized,0.3,0.7,10,48,0.05,0.02,0.01,32,600,2,14,10,5,0.2587318539614718,157.59475250914693
