component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.2943739146157914,0.2943739146157914
PC2,0.18310396922521127,0.47747788384100265
PC3,0.1382732826974307,0.6157511665384333
PC4,0.09243662651176887,0.7081877930502022
PC5,0.07468214885425198,0.7828699419044541
PC6,0.06392819126934612,0.8467981331738003
PC7,0.03880232427718908,0.8856004574509894
PC8,0.03344922193281179,0.9190496793838011
PC9,0.025116708407450394,0.9441663877912515
PC10,0.016239304509063544,0.960405692300315
PC11,0.01027118787433729,0.9706768801746524
PC12,0.009308310935890464,0.9799851911105428
PC13,0.007430661243024162,0.987415852353567
PC14,0.004737987657893719,0.9921538400114607
PC15,0.0036503139789632456,0.9958041539904239
PC16,0.001309912154344129,0.997114066144768
PC17,0.0010605670889994503,0.9981746332337675
PC18,0.0005033642626194347,0.998677997496387
PC19,0.00041168785201110716,0.999089685348398
PC20,0.0004071515159081196,0.9994968368643061
PC21,0.0002243539033365118,0.9997211907676427
PC22,0.00013696457269736967,0.9998581553403401
PC23,8.508266457408748e-05,0.9999432380049141
PC24,3.455858095801971e-05,0.9999777965858722
PC25,8.177403407856226e-06,0.99998597398928
PC26,7.144193155508432e-06,0.9999931181824355
PC27,3.766737171628693e-06,0.9999968849196071
PC28,1.916280206955776e-06,0.9999988011998141
PC29,6.530212369745256e-07,0.9999994542210511
PC30,3.4733629664582635e-07,0.9999998015573477
PC31,1.2360249836318984e-07,0.999999925159846
PC32,7.482469692518776e-08,0.9999999999845429
PC33,1.5457022989811362e-11,0.9999999999999999
PC34,3.0558268013508603e-34,0.9999999999999999
