,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34
n,-0.03363696793960866,-0.03057936216929946,0.3284651954323909,-0.24027069354439565,0.11485809129527201,-0.27312194319839345,-0.08723550341274744,0.15524723039636046,-0.10714113194614742,0.10532393619175613,-0.28644723312653253,0.1297325425718297,0.07458997012320095,-0.23443078594387592,-0.05145503328968481,-0.09084238805489837,0.051369523552729585,0.062020491605232354,-0.06506107651750477,-0.03129179822286351,0.04361671843779837,-0.0001650090836433052,-0.012134464106444616,0.002089157522044633,-0.004461545352871463,-0.01226221748129349,-0.005556859831642598,0.002534248986975279,0.0033928196276389916,-0.002420154964079853,0.004413991637595791,-0.0015373130809783065,-0.03969225418416207,0.7101860528470694
m,0.2540573643517825,-0.058396845771073236,0.10902462804184584,-0.17475604842971362,0.04341597604778169,-0.1317571206156848,-0.07819534378003772,0.07989956579562897,0.07448145825287784,-0.2695046687056802,0.06273112356297848,-0.38275562265929275,0.10110830758660941,0.2513201338751006,-0.2838618586612869,-0.36686378824620625,-0.10641730918941902,0.05074090178741153,0.12309316390723274,0.16692004433545898,-0.024179028224370472,-0.11396001570021677,0.4378818806810912,-0.17589226769555455,0.15814071107897432,0.02699424684416351,0.06262485795667579,0.1077352366460412,-0.011486987745096683,0.052986415931653034,-0.046460893341236494,0.03433606233202113,-2.7401071213788153e-06,-1.1102230246251565e-16
density,0.29351423946117966,-0.022110921214353776,-0.08178471271763085,-0.026501390021253603,0.0571001862646601,0.11787276780788691,-0.003206579965540746,0.003882507727060739,-0.01842556598488452,-0.08344096177050932,-0.1632274509897953,0.19656984110336667,0.10122295223357021,-0.2128252806974544,0.37737187250605414,0.24865060942624104,0.19358751481775727,0.15122518624983247,0.5479675892328376,-0.04284570345534843,-0.15238461908569043,-0.03302341976840843,0.36990763014021805,-0.056964087875664864,0.10018726361069924,-0.024191678764868187,-0.08670864294229515,0.036804275297801656,-0.06709884406258732,0.035560634331488046,-0.061062203026124,0.024471204318682733,8.360927142512164e-05,7.28583859910259e-16
isolated_nodes,-0.053062877335914596,-0.026410979128787565,0.2923186922116437,-0.2041561700031988,-0.009007519988317496,0.44075489805572604,0.06832533889911138,-0.005656284054880471,0.06463405232645299,-0.036060143190023916,0.00017834164343523995,0.013614664718771829,-0.07584328927928503,-0.01593783234351721,-0.0072966755332413875,-0.01071296616098653,-0.031125254337220264,0.05324525392407605,0.04041978315719748,0.004454253296112687,0.07671825305869392,-0.08638158051918242,-0.12010305633233344,-0.04903545574539008,0.23875865719496334,0.2204104131150101,0.001513704331352709,-0.1250202000890012,-0.008689527212099719,-0.022645696926916595,-0.011448874990971459,-0.01541696752652372,0.7070862404533309,0.0263058246882769
avg_deg,0.2990278032268577,-0.03644527939477331,0.027021661512245897,-0.11807309468334096,0.05131432467671989,-0.03108044411608874,-0.032903144863830606,0.07188473900928417,-0.008232840311283343,-0.20858440543759865,0.011225935704929448,-0.13589360335645684,0.06366805133920375,0.07953415703736308,-0.029911402849578196,-0.0008537457628699656,-0.04231996201610026,-0.11633281225680417,0.11573398056476183,-0.05024285001773999,0.17926445305328342,0.02425978923884469,-0.15935558470204167,0.6126431634888991,-0.12715000140365437,-0.08038637784067745,-0.3812581123871223,-0.3426951126947597,-0.16062028691920752,-0.11093177604900838,-0.15147090681144404,0.011043779293469886,0.0006354246332524452,4.343747583845925e-15
deg_std,0.08710250975965968,-0.17984337925358213,0.2727735607334031,0.23291032189936808,0.028809629351041536,-0.11360347872139344,-0.007403586523960262,0.026628941497263445,0.23872650832149706,0.16385306802694194,0.28956051368549046,-0.27527150525854027,-0.30254504535746496,-0.4179000272136613,0.009771096369074252,-0.010423269207636891,0.12152942515852197,-0.23113656146706862,0.24551617525188654,0.205540035733207,0.1376883763036438,0.26233814687075585,-0.04276724042649326,0.004788424128240346,-0.02710218140081788,0.1044629972347159,-0.06232262849120884,0.14670967247281258,0.01446488888388646,0.06257918898978751,0.07348627340826074,-0.012283021401906727,-0.0003900705095274356,-2.7755575615628914e-15
deg_cv,-0.12474966884997045,-0.003144031263508477,0.2525342509649038,0.25491286927224505,0.24958181338012464,-0.017811054309480184,-0.15564361460948745,-0.27579237798083583,-0.04317531522389229,0.07273294204442986,0.21293059483278,-0.16022968106791613,0.1321179417679397,0.04413505861212172,0.40148155631271615,-0.32497160972407135,-0.11756313594778621,0.4523447251689526,0.06570510014485065,-0.22083013535807788,0.07815284418272304,-0.15008713795279047,-0.07167995853122924,0.06660391945418281,-0.09011550155212034,-0.09373288779204332,-0.021172422650601187,0.021609864349546006,0.023356986528998903,-0.002530653271415129,-0.015416782904768151,0.00865075339972098,-0.0004071422843432591,-5.273559366969494e-16
deg_skewness,-0.21999433503319543,-0.07907277142730272,0.11963575185371318,0.2244730732725093,0.08851660811228709,0.040979096409782936,-0.2755262865123371,0.031628556269877234,0.2137275642217105,-0.26108875732902065,-0.09308633175404135,-0.027506499859083128,0.3484900165709714,0.09193162002991315,0.08810909966725235,-0.06563021154653133,0.5253909013242293,-0.38509102319203625,-0.0637858722467502,0.02331967556768929,-0.20049155091490006,-0.19465256143240364,-0.11719530258061381,0.012458348520249773,0.07107537913583131,0.052010731055588955,-0.006698436274531405,0.005247583012003508,-0.01123082701755639,-0.008006348987004573,0.004524660131489323,0.004904513696489614,0.0004901113533439983,4.3021142204224816e-16
max_deg,0.2175358740534549,-0.15031338750288548,0.23553656385148927,0.09642567529823336,0.09821489209824852,-0.06867830294112522,-0.0898188303316622,0.06347479760093232,0.05017331239823237,-0.029764091196813558,0.22574628955792675,-0.09827275221898593,0.00617134828964645,-0.15098031241293783,0.057655876544592775,0.5183403459675734,-0.26047468309239247,-0.030736519881605754,-0.4291314847819497,-0.06970265204700984,-0.25726234951803884,-0.30769850729484355,0.17666582789635848,0.014178460582142342,0.07867210475086589,-0.049593059175466324,0.0757887824060556,-0.10794052263165078,-0.02344519228690912,-0.04002382366355263,-0.04134200285090735,-0.0031812610996214984,0.0003338620660019954,2.0539125955565396e-15
edge_weight_sum,0.1671385806566812,0.31431062507221696,0.08521577489725853,0.04383984304541635,-0.03163173524884107,0.0075069064537917314,-0.023235399065759364,-0.05007201614581461,-0.20190402657603648,0.03333566489213958,0.11255484512416784,0.07119719599813548,-0.2317912822345421,-0.018851660220696342,-0.015246054561557846,-0.1831815520105236,0.22312990490143247,-0.0705955161560152,-0.027593257705128705,0.011238145847505522,-0.1360146909924563,-0.18637946434483163,0.2156659042327966,-0.04186193457331165,-0.2160323388778343,0.12712198875133512,-0.08841887168767677,-0.3442621198639107,0.1753613971244668,-0.24329620483044911,0.48313387350233195,-0.20690871220375648,0.0016877385025270317,1.1891529427821013e-15
