component,rank,feature,abs_loading,signed_loading
PC1,1,avg_deg,0.2990278032268577,0.2990278032268577
PC1,2,max_core,0.29609622751512554,0.29609622751512554
PC1,3,avg_common_neighbor_local,0.2941858540349689,0.2941858540349689
PC1,4,density,0.29351423946117966,0.29351423946117966
PC1,5,avg_common_neighbors_all_pairs,0.2885311895251129,0.2885311895251129
PC1,6,m,0.2540573643517825,0.2540573643517825
PC1,7,global_transitivity,0.24218339117952503,0.24218339117952503
PC1,8,positive_cn_pair_ratio,0.22609636758036802,0.22609636758036802
PC1,9,deg_skewness,0.21999433503319543,-0.21999433503319543
PC1,10,max_deg,0.2175358740534549,0.2175358740534549
PC2,1,strength_std,0.3475395311810762,0.3475395311810762
PC2,2,max_strength,0.3436586487285879,0.3436586487285879
PC2,3,w_std,0.3324357311191913,0.3324357311191913
PC2,4,w_mean,0.33242491364447324,0.33242491364447324
PC2,5,edge_weight_sum,0.31431062507221696,0.31431062507221696
PC2,6,avg_strength,0.3135911353238783,0.3135911353238783
PC2,7,two_hop_coverage,0.2271216946983536,-0.2271216946983536
PC2,8,avg_second,0.20429507980103787,-0.20429507980103787
PC2,9,deg_assortativity,0.1927994556506001,0.1927994556506001
PC2,10,positive_cn_pair_ratio,0.19120485418500943,-0.19120485418500943
PC3,1,n,0.3284651954323909,0.3284651954323909
PC3,2,largest_component_size,0.32108325893851386,0.32108325893851386
PC3,3,largest_component_ratio,0.31324076438451887,-0.31324076438451887
PC3,4,num_components,0.2986254483160647,0.2986254483160647
PC3,5,isolated_nodes,0.2923186922116437,0.2923186922116437
PC3,6,deg_std,0.2727735607334031,0.2727735607334031
PC3,7,deg_cv,0.2525342509649038,0.2525342509649038
PC3,8,second_first_ratio,0.2427561389832632,0.2427561389832632
PC3,9,avg_second,0.23839134046388832,0.23839134046388832
PC3,10,max_deg,0.23553656385148927,0.23553656385148927
PC4,1,strength_skewness,0.3162639033299017,0.3162639033299017
PC4,2,strength_cv,0.3149331088464733,0.3149331088464733
PC4,3,w_cv,0.3065176094574988,0.3065176094574988
PC4,4,deg_cv,0.25491286927224505,0.25491286927224505
PC4,5,n,0.24027069354439565,-0.24027069354439565
PC4,6,largest_component_size,0.23620252419513585,-0.23620252419513585
PC4,7,deg_std,0.23291032189936808,0.23291032189936808
PC4,8,deg_skewness,0.2244730732725093,0.2244730732725093
