dataset,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,alpha,beta,T,h,rho,lr,lam_sparse,epochs,batch_size,k_min,k_max,k_n_init,best_k,modularity,time_seconds,rank_ascending,rank_descending,rank_pct,modularity_minmax,relative_gap_to_best,score_sigmoid_01,score_sigmoid_signed,label_top_q,label_bottom_q,score_extreme_01,score_extreme_signed,run_name,is_best_for_dataset,source_score_file,pred_score,pred_rank_desc
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,8,16,0.05,0.01,0.00033,600,32,2,14,10,7,0.4955175490779313,64.57353714294732,694.0,27.0,0.9638386648122392,0.9484852762503889,0.05151472374693721,0.9961890706176786,0.9923781412353572,1,0,0.9990472676544196,0.9980945353088393,full_param_grid_lesmis_a0.9_T08_h016_rho0.050_lr0.01_lam0.000330_bs32_ep600,False,lesmis_score.xlsx,0.8941874131016426,1.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,32,0.05,0.01,0.00066,600,16,2,14,10,7,0.4805606781677584,93.20175551529974,651.0,70.0,0.9040333796940194,0.9084942629950469,0.09150573700227943,0.9922200929235798,0.9844401858471596,0,0,0.9922200929235798,0.9844401858471596,full_param_grid_lesmis_a0.9_T06_h032_rho0.050_lr0.01_lam0.000660_bs16_ep600,False,lesmis_score.xlsx,0.8896896121928987,2.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,32,0.05,0.01,0.0001,600,32,2,14,10,5,0.4972360202260603,47.28773556975648,700.0,21.0,0.972183588317107,0.9530800476351584,0.04691995236216794,0.9965509555795737,0.9931019111591475,1,0,0.9991377388948934,0.9982754777897869,full_param_grid_lesmis_a0.9_T06_h032_rho0.050_lr0.01_lam0.000100_bs32_ep600,False,lesmis_score.xlsx,0.8878964089442418,3.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,16,0.05,0.01,0.00066,600,16,2,14,10,4,0.4260425342058319,87.01603837683797,335.0,386.0,0.4645340751043116,0.7627260852169545,0.2372739147803716,0.3951796264345062,-0.2096407471309877,0,0,0.3951796264345062,-0.2096407471309877,full_param_grid_lesmis_a0.9_T06_h016_rho0.050_lr0.01_lam0.000660_bs16_ep600,False,lesmis_score.xlsx,0.8842222156216413,4.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,48,0.05,0.01,0.00066,600,32,2,14,10,8,0.4543337299226662,49.23833754798397,500.0,221.0,0.694019471488178,0.8383698204418062,0.1616301795555201,0.9111885010230721,0.8223770020461443,0,0,0.9111885010230721,0.8223770020461443,full_param_grid_lesmis_a0.9_T06_h048_rho0.050_lr0.01_lam0.000660_bs32_ep600,False,lesmis_score.xlsx,0.8745183179442718,5.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,32,0.05,0.01,0.00066,600,32,2,14,10,5,0.4416485722784106,48.88161208480597,423.0,298.0,0.5869262865090403,0.8044528126301992,0.1955471873671271,0.7394506845048144,0.4789013690096289,0,0,0.7394506845048144,0.4789013690096289,full_param_grid_lesmis_a0.9_T06_h032_rho0.050_lr0.01_lam0.000660_bs32_ep600,False,lesmis_score.xlsx,0.8738032603376876,6.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,32,0.05,0.01,0.00033,600,16,2,14,10,6,0.4715623140987522,80.4851466268301,607.0,114.0,0.8428372739916551,0.8844348391408723,0.1155651608564538,0.9839212491923588,0.9678424983847176,0,0,0.9839212491923588,0.9678424983847176,full_param_grid_lesmis_a0.9_T06_h032_rho0.050_lr0.01_lam0.000330_bs16_ep600,False,lesmis_score.xlsx,0.8715261549899402,7.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,16,0.05,0.02,0.00033,600,32,2,14,10,5,0.4974182034503294,44.80769636062905,701.0,20.0,0.9735744089012517,0.9535671610013432,0.04643283899598307,0.9966078482517597,0.9932156965035195,1,0,0.9991519620629399,0.9983039241258799,full_param_grid_lesmis_a0.9_T06_h016_rho0.050_lr0.02_lam0.000330_bs32_ep600,False,lesmis_score.xlsx,0.8650975867903871,8.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,16,0.05,0.02,0.00033,600,16,2,14,10,3,0.4137276918500918,81.37766604172066,283.0,438.0,0.39221140472879,0.7297992098802897,0.2702007901170365,0.2152672147336478,-0.5694655705327043,0,0,0.2152672147336478,-0.5694655705327043,full_param_grid_lesmis_a0.9_T06_h016_rho0.050_lr0.02_lam0.000330_bs16_ep600,False,lesmis_score.xlsx,0.8601905212986266,9.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.7,0.3,6,48,0.05,0.01,0.00033,600,16,2,14,10,6,0.4809607376561585,78.88458420801908,653.5,67.5,0.9075104311543811,0.9095639241828459,0.09043607581448028,0.9925356544209789,0.9850713088419578,0,0,0.9925356544209789,0.9850713088419578,full_param_grid_lesmis_a0.7_T06_h048_rho0.050_lr0.01_lam0.000330_bs16_ep600,False,lesmis_score.xlsx,0.8600481326166757,10.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,16,0.05,0.02,0.00066,600,16,2,14,10,5,0.4610075847709738,83.56841243524104,549.0,172.0,0.7621696801112656,0.8562140753869614,0.143785924610365,0.9587522510950085,0.917504502190017,0,0,0.9587522510950085,0.917504502190017,full_param_grid_lesmis_a0.9_T06_h016_rho0.050_lr0.02_lam0.000660_bs16_ep600,False,lesmis_score.xlsx,0.8596984767019441,11.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,32,0.05,0.01,0.00033,600,32,2,14,10,7,0.4753554431885791,45.79027664614841,625.0,96.0,0.8678720445062587,0.894576738246742,0.1054232617505841,0.9880436520689875,0.976087304137975,0,0,0.9880436520689875,0.976087304137975,full_param_grid_lesmis_a0.9_T06_h032_rho0.050_lr0.01_lam0.000330_bs32_ep600,False,lesmis_score.xlsx,0.8535010417530386,12.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,8,16,0.05,0.01,0.0001,600,32,2,14,10,7,0.5068619869125544,63.65729464776814,715.0,6.0,0.9930458970792768,0.9788175273304095,0.02118247266691682,0.9973127626469669,0.9946255252939338,1,0,0.9993281906617417,0.9986563813234834,full_param_grid_lesmis_a0.9_T08_h016_rho0.050_lr0.01_lam0.000100_bs32_ep600,False,lesmis_score.xlsx,0.8506820483154927,13.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,48,0.05,0.01,0.00033,600,32,2,14,10,6,0.4779595478881662,45.58115800796077,635.0,86.0,0.8817802503477051,0.901539477056546,0.09846052294078031,0.9898628851159069,0.9797257702318138,0,0,0.9898628851159069,0.9797257702318138,full_param_grid_lesmis_a0.9_T06_h048_rho0.050_lr0.01_lam0.000330_bs32_ep600,False,lesmis_score.xlsx,0.8497616400230988,14.0
